pincode_primary_state,pincode_primary_district,observed_facility_rows,unique_pincodes_observed,sample_facility_names,predominant_join_uncertainty
WEST BENGAL,PURBA BARDHAMAN,11,4,"Burdwan Medical College Burdwan; Bengal FAITH Hospital; Burdwan Dental College & Hospital; Sharanya Multi Speciality Hospital; Sanjeevni Nursing Home; Nayonika Eye Care; Mental Health Care Centre; Burwan Medical College & Hospital, Burdwan",PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Tirupati,8,6,"Government Maternity Hospital, Tirupati; Aster Narayanadri, Tirupati; Sri Venkateswara Institute of Medical Sciences, Tirupati; Government Ayurvedic Hospital and Research Centre; Medigo Multispeciality Hospital; Amara Hospital; Sudarshan Hospitals; Nareddy Care",PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,TUTICORIN,8,7,"Government Medical College, Thoothukudi; Kamala Hospital; Rajeswari Hospital; Edison Hospital; K P Hospital; Razack Hospital; Kovilpatti Venkateswara Hospitals; Sacred Heart Hospital",PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,TENKASI,7,7,"Malar Hospital; Annai Velankanni Multispecialty Hospital; Latha Eye Hospital Thuraiyur Main Rd,Namakkal TN.; Ruby Dental Clinic; Rafa Eye Care Clinic; Dr. Sri Kanna Hospital; Dr.Razack Hospital",PIN code matched India Post but no district/state match in NFHS.
PUNJAB,SRI MUKTSAR SAHIB,7,2,"Adesh Hospital & Research Centre; Malwa Ortho Hospital Near Usha Bansal Nursing Home Kotkapura Road, Sri Muktsar Sahib; Arora Dental Implant Clinic; Anand Hospital; Brar Dental Health Clinic; New Shyam Narayan Hospital; Medicare Hospital",PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,KALABURAGI,6,3,"Shifaa Hospital; Jeeva Homeopathy; United Hospital; United Hospital, Gulbarga; Banale Hospital; Dr Ravikumar Diabetes Thyriod obesity & endocrine clinic",PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,AYODHYA,6,3,Tripathi Hospital; Ayodhya Eye Hospital; Ayodhya Phaco Center Eye Hospital; National Hospital; Shuddhi Clinic; Yashlok Hospital,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,VILLUPURAM,5,3,"Pondicherry Institute of Medical Sciences, Puducherry; Archana Hospital; Raja Dental Clinic; Dr Latha’s Dental Kraft; Maragatham Hospital",PIN code matched India Post but no district/state match in NFHS.
PUNJAB,MALERKOTLA,5,2,Sood Hospital; Rani Eye Hospital; Vinod Hospital; Master Dental Care; Virdi Hospital,PIN code matched India Post but no district/state match in NFHS.
WEST BENGAL,MEDINIPUR EAST,5,3,Alipurduar Lions Eye Hospital; Purba Medinipur District Hospital; BEST Care Polyclinic; Manjushree Diagnostic Centre; Balaji Nursing Home,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Eluru,5,2,"Star Dental Experts; Sri Krishna Fertility Clinic, Eluru; Aayush Hospitals - Eluru; Sri Sankara Netra Chikitsalaya Eluru; Sri Dwaraka Hospital",PIN code matched India Post but no district/state match in NFHS.
GUJARAT,ARVALLI,5,2,Shrimant Fatehsinhrao Gaekwad General Hospital; VISHVAS ORTHOPAEDIC HOSPITAL & JOINT REPLACEMENT CENTER; Sarvajanik Hospital; Shreenath Hospital; Navjivan Hospital,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,Ranipet,4,4,Scudder Memorial Hospital; Fathima Hospital; Velan'S Dental Park; Thirumalai Mission Hospital,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,KANCHIPURAM,4,4,Sri Devi Hospital; Sree Kumaran Medicure; MS Eye care; Rani Multi Speciality Clinic,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Bapatla,4,2,"Poorvi Advanced 4D,CT & MRI Scan Centre Chirala; Solomon Hospital; Sankar Laparoscopy and Infertility Centre; Dhruthi Clinics",PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,CHIKKAMAGALURU,4,3,"Ashraya Hospital; Vijaya Clinic; Sargod Eye Care; Prashamani Hospital (Balagadi Road, Koppa)",PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Annamayya,4,1,Rama Nethralaya Eye Hospital; Anjana Scan Centre; Aadhya Hospital Kidney Care Center; RK Diagnostic Center,PIN code matched India Post but no district/state match in NFHS.
,,4,2,"Apollo Clinic 1, Cosmic Enclave, Opposite SBI Bank (Sama Branch) Near GIPCL Circle,Vadodara-390008; City Smiles Dental Clinic; Dr. Batra's Dentistree; Cosmetic Care & Surgery Clinic",PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,BHADOHI,3,1,Vardhman Hospital; Chandra Nidan Kendra (Bhadohi); Jeevandhara Hospital,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,KALLAKURICHI,3,2,Santhi Poly Clinic; Government District Headquarters Hospital; Sriram Hospital,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Palnadu,3,2,"Lifeline Hospital; SVIMS Hospital; Tejasri Dental Chilakaluripet, Andhra Pradesh",PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Kakinada,3,2,Hope International Hospital; Trust Multispeciality Hospitals; Surya Global Multi Speciality Hospital,PIN code matched India Post but no district/state match in NFHS.
JAMMU AND KASHMIR,Budgam,3,2,"Ibn Sina Hospital; Mubarak Hospital; Alaqaband Child Health Clinic, Dermatology Clinic And vaccination centre.",PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Sri Sathya Sai,3,2,"Sri Sathya Sai Super Speciality Hospital COVID care centre, Puttaparthi; Sri Sathya Sai General Hospital, Prasanthi Nilayam; Sai Hospital",PIN code matched India Post but no district/state match in NFHS.
MADHYA PRADESH,KHARGONE,3,3,Suyash Hospital; Gurjar Dental Clinic; Subhishi Hospital,PIN code matched India Post but no district/state match in NFHS.
RAJASTHAN,JALORE,3,2,Jeevan Jeewana Hospital; Nahar Hospital; Shree Balaji Hospital,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Nandyal,3,1,"Vijaya Diagnostic Centre - Main Road Gopalapatnam, Visakhapatnam; Chaitanya Dental Clinic; KVR Hospital",PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,VIJAYAPURA,3,3,"District Hospital; Shri B.M.Patil Medical College, Hospital & Research Centre; Anugraha Eye Hospital",PIN code matched India Post but no district/state match in NFHS.
WEST BENGAL,DINAJPUR UTTAR,2,1,Jeevan Rekha Hospital; Raiganj Government Medical College And Hospital,PIN code matched India Post but no district/state match in NFHS.
RAJASTHAN,CHITTORGARH,2,1,Life Care Hospital; Sharma Hospital,PIN code matched India Post but no district/state match in NFHS.
MADHYA PRADESH,EAST NIMAR,2,1,St. Richard Pampuri Hospital Khandwa; Gurjar Hospital,PIN code matched India Post but no district/state match in NFHS.
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,2,1,Smile Daman Dental Clinic; Life Care Multi Speciality Hospital - Daman,PIN code matched India Post but no district/state match in NFHS.
CHHATTISGARH,KABIRDHAM,2,1,Chandrayan Health Care; Hi-Tech Path Lab,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Anakapalli,2,1,American Clinic; Usha Prime Hospital,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,Tirupathur,2,2,"Rifa Medical Center Ambur, Tamilnadu; Insight Imagings",PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,Kasganj,2,1,Dr. Shikhar Physiotherapy MPT; Christian Hospital Kasganj,PIN code matched India Post but no district/state match in NFHS.
TAMIL NADU,MAYILADUTHURAI,2,2,Saravana Hospital; Arun Dental Clinic,PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,AMROHA,2,1,District Combined Hospital; Mannat Super Speciality Hospital,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Konaseema,1,1,Kalyan Dental Clinic & Implant Center,PIN code matched India Post but no district/state match in NFHS.
ANDHRA PRADESH,Parvathipuram Manyam,1,1,Padmaja Hospital,PIN code matched India Post but no district/state match in NFHS.
CHHATTISGARH,KOREA,1,1,Community Health Center Patan,PIN code matched India Post but no district/state match in NFHS.
GUJARAT,CHHOTAUDEPUR,1,1,Vaanya Gynec And Children Hospital,PIN code matched India Post but no district/state match in NFHS.
JHARKHAND,KODERMA,1,1,Sanjeevni Hospital,PIN code matched India Post but no district/state match in NFHS.
ASSAM,MARIGAON,1,1,Morigaon Civil Hospital,PIN code matched India Post but no district/state match in NFHS.
MADHYA PRADESH,NARSINGHPUR,1,1,Akash Hospital,PIN code matched India Post but no district/state match in NFHS.
KARNATAKA,VIJAYNAGAR,1,1,Government General Hospital Gulbarga,PIN code matched India Post but no district/state match in NFHS.
THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA AND NAGAR HAVELI,1,1,Shri Vinoba Bhave Civil Hospital,PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,HATHRAS,1,1,Khan Clinic,PIN code matched India Post but no district/state match in NFHS.
UTTAR PRADESH,SANT KABEER NAGAR,1,1,Park Hospital,PIN code matched India Post but no district/state match in NFHS.
WEST BENGAL,KALIMPONG,1,1,Kalimpong District Hospital,PIN code matched India Post but no district/state match in NFHS.
